tweet_id	retweet_count	favorite_count
852912242202992640	1600	8257
852672615818899456	1913	13645
852553447878664193	3118	14906
852311364735569921	8881	30369
852226086759018497	6090	18340
852189679701164033	1419	10574
851591660324737024	3125	14955
851464819735769094	6313	22263
851224888060895234	5170	19048
850753642995093505	8082	28144
850380195714523136	2332	12071
850333567704068097	301	3189
850145622816686080	3395	15043
850019790995546112	4373	18782
849776966551130114	6818	27903
849668094696017920	4447	0
849412302885593088	2833	14675
849336543269576704	1692	10549
849051919805034497	7625	39001
848690551926992896	3925	23265
848324959059550208	4146	22825
848213670039564288	646	7542
848212111729840128	2721	15041
847978865427394560	2922	0
847971574464610304	396	0
847962785489326080	4577	21737
847842811428974592	1191	5014
847617282490613760	376	6474
847606175596138505	3091	17352
847251039262605312	3921	18972
847157206088847362	5254	18380
847116187444137987	2875	19877
846874817362120707	3550	18628
846514051647705089	10385	41181
846505985330044928	2763	13076
846153765933735936	8177	29094
846139713627017216	9169	28822
846042936437604353	2590	14811
845812042753855489	7865	27015
845677943972139009	4382	23430
845397057150107648	1622	7080
845306882940190720	4864	21620
845098359547420673	6944	0
844979544864018432	2315	12669
844973813909606400	2857	13934
844580511645339650	2817	15295
844223788422217728	1994	12710
843981021012017153	2699	14121
843856843873095681	4171	19976
843604394117681152	2480	15708
843235543001513987	5413	19976
842846295480000512	3317	14223
842765311967449089	1176	6298
842535590457499648	3184	16921
842163532590374912	5265	22733
842115215311396866	2761	13037
841833993020538882	13582	0
841680585030541313	7161	24041
841439858740625411	3330	11739
841320156043304961	5022	18418
841314665196081154	4243	14760
841077006473256960	4890	21348
840761248237133825	1622	0
840728873075638272	14594	0
840698636975636481	2	164
840696689258311684	891	11482
840632337062862849	1622	8433
840370681858686976	4184	15325
840268004936019968	5216	17904
839990271299457024	2070	12527
839549326359670784	7079	25585
839290600511926273	132	0
839239871831150596	5942	25229
838952994649550848	3663	18367
838921590096166913	1855	10414
838916489579200512	31	0
838831947270979586	10034	0
838561493054533637	1233	10253
838476387338051585	4346	20963
838201503651401729	9201	0
838150277551247360	304	1568
838085839343206401	1	133
838083903487373313	2844	16457
837820167694528512	7156	31838
837482249356513284	407	3611
837471256429613056	2065	11990
837110210464448512	2181	15063
836989968035819520	2115	11956
836753516572119041	4268	18132
836677758902222849	2025	11839
836648853927522308	508	0
836397794269200385	25102	0
836380477523124226	2746	13911
836260088725786625	3981	19946
836001077879255040	3897	17887
835685285446955009	7424	0
835574547218894849	3302	16663
835536468978302976	1544	0
835309094223372289	19184	0
835297930240217089	2742	15443
835264098648616962	1544	7241
835246439529840640	63	1992
835172783151792128	5296	24568
835152434251116546	2764	20943
834931633769889797	1492	10112
834786237630337024	5109	20215
834574053763584002	2319	12811
834477809192075265	9773	0
834458053273591808	1549	9028
834209720923721728	4330	19257
834167344700198914	3364	14836
834089966724603904	1964	9445
834086379323871233	2040	12244
833863086058651648	2213	12618
833826103416520705	3490	17074
833732339549220864	205	0
833722901757046785	2999	19682
833479644947025920	1890	14003
833124694597443584	4447	18984
832998151111966721	2020	12434
832769181346996225	38	0
832757312314028032	3321	15844
832682457690300417	2668	11146
832645525019123713	485	2739
832636094638288896	2561	14894
832397543355072512	2037	11243
832369877331693569	2922	16087
832273440279240704	2147	10650
832215909146226688	5726	0
832215726631055365	8591	0
832088576586297345	2	58
832040443403784192	8826	0
832032802820481025	4302	16776
831939777352105988	5659	22474
831926988323639298	34	319
831911600680497154	5979	25856
831670449226514432	1689	9781
831650051525054464	1789	6680
831552930092285952	2162	8450
831322785565769729	1447	8759
831315979191906304	1038	6177
831309418084069378	2269	11097
831262627380748289	1890	11158
830956169170665475	1375	7507
830583320585068544	15416	62389
830173239259324417	5243	0
830097400375152640	2698	9155
829878982036299777	4609	0
829861396166877184	1793	11514
829501995190984704	9773	29881
829449946868879360	1862	9874
829141528400556032	6771	22892
829011960981237760	15107	50267
828801551087042563	3160	0
828770345708580865	5395	24075
828708714936930305	10328	34251
828650029636317184	1238	8943
828409743546925057	1079	6035
828408677031882754	1186	7245
828381636999917570	2057	11859
828376505180889089	994	6984
828372645993398273	2724	11861
828361771580813312	165	2069
828046555563323392	2655	11049
828011680017821696	1991	9769
827933404142436356	4833	18842
827653905312006145	2793	14588
827600520311402496	864	7058
827324948884643840	2807	14943
827199976799354881	2060	10002
826958653328592898	4609	20293
826848821049180160	9333	34029
826615380357632002	3682	0
826598799820865537	230	4849
826598365270007810	2180	9434
826476773533745153	3891	17363
826240494070030336	2418	12514
826204788643753985	855	4594
826115272272650244	2869	14729
825876512159186944	1736	9906
825829644528148480	2333	12012
825535076884762624	16343	53921
825147591692263424	4175	17256
825120256414846976	1166	0
825026590719483904	1166	5900
824796380199809024	5097	0
824775126675836928	3272	14048
824663926340194305	1642	9925
824325613288833024	9878	11173
824297048279236611	3565	14214
824025158776213504	557	4572
823939628516474880	2533	10044
823719002937630720	10353	0
823699002998870016	2332	13211
823581115634085888	2443	12249
823333489516937216	22	660
823322678127919110	3716	14818
823269594223824897	9217	0
822975315408461824	3199	16357
822872901745569793	39886	123901
822859134160621569	2109	12443
822647212903690241	5951	0
822610361945911296	2730	13952
822489057087389700	5951	17094
822462944365645825	13137	26273
822244816520155136	9217	33093
822163064745328640	4371	0
821886076407029760	2137	10668
821813639212650496	3125	0
821765923262631936	1556	7889
821522889702862852	1631	7565
821421320206483457	5126	0
821407182352777218	3990	11082
821153421864615936	9	234
821149554670182400	1825	8098
821107785811234820	1971	9059
821044531881721856	2124	11939
820837357901512704	6237	0
820749716845686786	9201	29804
820690176645140481	2999	11567
820494788566847489	522	0
820446719150292993	2390	0
820314633777061888	522	3152
820078625395449857	5789	18633
820013781606658049	1082	0
819952236453363712	1082	5014
819924195358416896	4539	12220
819711362133872643	2873	12596
819588359383371776	1867	9151
819347104292290561	1116	6823
819238181065359361	379	2137
819227688460238848	6237	21774
819015337530290176	34519	0
819015331746349057	17784	0
819006400881917954	17784	42969
819004803107983360	34519	82573
818646164899774465	19434	0
818627210458333184	7052	21197
818614493328580609	2351	9294
818588835076603904	5689	0
818536468981415936	2271	10258
818307523543449600	7453	0
818259473185828864	2085	10404
818145370475810820	2365	11607
817908911860748288	739	4604
817827839487737858	25102	48567
817777686764523521	2520	10216
817536400337801217	2728	11110
817502432452313088	3141	0
817423860136083457	13582	31832
817415592588222464	888	5287
817181837579653120	7857	0
817171292965273600	1866	8304
